id,created_at,text
1244842999739076609,2020-03-31 04:24:33,b'RT @TurnkeyTyranny: @algekalipso https://t.co/5wxu5xCBQs'
1244837625879334912,2020-03-31 04:03:12,"b'Has anyone ever heard Trump say the word ""exponential""? At all? AFAIK he still doesn\'t know what that word means.'"
1244766755282489345,2020-03-30 23:21:35,b'This is good. Even with false negatives you still get better collective outcomes. It should be obvious.\nNow this ca\xe2\x80\xa6 https://t.co/82n90si5y6'
1244492875997392897,2020-03-30 05:13:17,"b'The Great Annealing:\n\nhttps://t.co/QdRsM9Npdc\n\n(very related: how festivals give rise to ""worldview annealing"": https://t.co/nAJao9122U)'"
1244492552461406208,2020-03-30 05:12:00,"b'RT @robinhanson: Here I try to put my recent arguments for variolation together into an integrated essay, suitable for recommending to your\xe2\x80\xa6'"
1244492320705105920,2020-03-30 05:11:05,"b'@WilliamAEden We should take this a lesson in the broader problem of ""avoiding the long-tails of suffering"". Suffoc\xe2\x80\xa6 https://t.co/k1OUBAgc0X'"
1244201888888709121,2020-03-29 09:57:01,b'@nanogenomic https://t.co/r6mk8gOD21'
1244197688070959104,2020-03-29 09:40:19,b'Steven Lehar! https://t.co/JuihfZLO7e'
1244197558374686721,2020-03-29 09:39:48,"b""RT @DrGBuckingham: Very cool illusion by Ryota Kanai - stare at the centre of the image and see the 'broken' squares toward the outside of\xe2\x80\xa6"""
1244131830527213568,2020-03-29 05:18:37,"b""Perhaps in the future going out without nasal filters will be considered as reckless as today it's considered havin\xe2\x80\xa6 https://t.co/yymjSKweRC"""
1243799987508539393,2020-03-28 07:20:00,"b'And ""hugs"" are not quintessentially embedded in human bodies touching each other. \n\nYou can just as well embed a ""h\xe2\x80\xa6 https://t.co/gnLKZRcyOf'"
1243799492446453760,2020-03-28 07:18:02,b'Of course once we internalize the #TyrannyOfTheIntentionalObject we will know deep in our bones that physical intim\xe2\x80\xa6 https://t.co/Qxqh7qkf5w'
1243798950085156866,2020-03-28 07:15:53,b'What would be a pandemic-safe version of Burning Man? Seems like a lot of work to go all the way to the desert to t\xe2\x80\xa6 https://t.co/JUcTEBKGVm'
1243683679626379264,2020-03-27 23:37:50,"b""@thegoodtimeline It's terrible. I know too many people who are in that situation. It usually goes that the psychiat\xe2\x80\xa6 https://t.co/XSljHerzDn"""
1243675610532073473,2020-03-27 23:05:46,b'@AdamDemirel Definitely! I think that infusing the room has a lot of diminishing returns. I prefer wearing a cologn\xe2\x80\xa6 https://t.co/lNikfD1Icd'
1243655458415505409,2020-03-27 21:45:41,"b'@AdamDemirel Some wonderful underrated scents: Peony, azalea, violet, neroli, pear, bergamot, honeydew melon, pomeg\xe2\x80\xa6 https://t.co/vXl00NJVUN'"
